number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
79,0.5601348656821794,2025-11-30 17:14:02.714707,2025-11-30 17:14:03.458508,0 days 00:00:00.743801,tanh,0.06584565255776602,512,128.0,512.0,1024.0,128.0,32.0,64.0,,,,0.0007673948316939451,7,True,PRUNED
80,0.35363071218306436,2025-11-30 17:14:03.459009,2025-11-30 17:14:07.083995,0 days 00:00:03.624986,relu,0.01476906458600187,512,128.0,2048.0,64.0,512.0,64.0,256.0,,,,0.0006071058328116963,7,True,PRUNED
81,0.5321637767341372,2025-11-30 17:14:07.084444,2025-11-30 17:14:08.102750,0 days 00:00:01.018306,relu,3.982981573177468e-05,32,128.0,2048.0,1024.0,64.0,512.0,2048.0,512.0,,,0.0005390155824888918,8,True,PRUNED
82,0.42816267320935264,2025-11-30 17:14:08.103193,2025-11-30 17:14:09.998224,0 days 00:00:01.895031,relu,0.03733767934275975,32,128.0,2048.0,1024.0,64.0,512.0,128.0,512.0,1024.0,,0.0008398458459906636,9,True,PRUNED
83,0.25563690020714513,2025-11-30 17:14:09.998542,2025-11-30 17:14:53.468805,0 days 00:00:43.470263,relu,0.010982685621069755,256,128.0,2048.0,1024.0,64.0,512.0,1024.0,1024.0,,,0.0006860714585518427,8,True,COMPLETE
84,0.5402332592896346,2025-11-30 17:14:53.469240,2025-11-30 17:14:54.154064,0 days 00:00:00.684824,relu,0.021080279566517084,64,128.0,256.0,128.0,64.0,512.0,,,,,0.0006331689221746147,6,True,PRUNED
85,0.526467177228596,2025-11-30 17:14:54.154514,2025-11-30 17:14:55.035313,0 days 00:00:00.880799,relu,0.05793446045368379,32,256.0,2048.0,1024.0,64.0,256.0,32.0,512.0,,,0.0005525816643776028,8,True,PRUNED
86,0.5109352735151155,2025-11-30 17:14:55.035709,2025-11-30 17:14:55.737973,0 days 00:00:00.702264,relu,0.045706179421359294,512,32.0,512.0,32.0,256.0,128.0,128.0,,,,0.0007201534935404612,7,True,PRUNED
87,0.5123258011085606,2025-11-30 17:14:55.738487,2025-11-30 17:14:56.388576,0 days 00:00:00.650089,relu,0.026538328058012577,32,1024.0,512.0,1024.0,64.0,,,,,,0.0009761225731754005,5,True,PRUNED
88,0.5462435007361471,2025-11-30 17:14:56.389231,2025-11-30 17:14:57.667532,0 days 00:00:01.278301,relu,0.009038483478282464,128,128.0,2048.0,2048.0,1024.0,2048.0,128.0,256.0,64.0,,0.0011156830605399176,9,True,PRUNED
89,0.6165388682834879,2025-11-30 17:14:57.667901,2025-11-30 17:14:58.586289,0 days 00:00:00.918388,leaky_relu,0.09856416244247074,1024,2048.0,1024.0,1024.0,,,,,,,0.0007920092846898165,4,True,PRUNED
90,0.6349288199606019,2025-11-30 17:14:58.590859,2025-11-30 17:14:59.373446,0 days 00:00:00.782587,relu,0.2733877377560773,512,64.0,32.0,128.0,2048.0,512.0,512.0,,,,0.00330190933333356,7,True,PRUNED
91,0.37825410659946984,2025-11-30 17:14:59.373944,2025-11-30 17:15:01.995801,0 days 00:00:02.621857,relu,0.033377128775520154,512,128.0,512.0,1024.0,64.0,,,,,,0.0006744445113098988,5,True,PRUNED
92,0.3280992697175278,2025-11-30 17:15:01.996275,2025-11-30 17:15:07.044962,0 days 00:00:05.048687,relu,0.024861757264621843,512,128.0,512.0,1024.0,64.0,,,,,,0.0006579512628210791,5,True,PRUNED
93,0.24790476229540223,2025-11-30 17:15:07.045356,2025-11-30 17:15:40.861432,0 days 00:00:33.816076,relu,0.010330248613907179,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0005910049325435357,6,True,COMPLETE
94,0.24767528256433202,2025-11-30 17:15:40.862237,2025-11-30 17:16:14.492515,0 days 00:00:33.630278,relu,0.00759940887813538,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0005981300492504041,6,True,COMPLETE
95,0.2351069076031594,2025-11-30 17:16:14.493020,2025-11-30 17:16:48.126896,0 days 00:00:33.633876,relu,0.008886951882231485,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0005754225740703517,6,True,COMPLETE
96,0.43475627347415874,2025-11-30 17:16:48.127788,2025-11-30 17:16:49.572991,0 days 00:00:01.445203,relu,0.043412624752851146,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0006001584813524274,6,True,PRUNED
97,0.2597095184117256,2025-11-30 17:16:49.573449,2025-11-30 17:17:23.589571,0 days 00:00:34.016122,relu,0.010422933039180078,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0005362202837249509,6,True,COMPLETE
98,0.5842292592240718,2025-11-30 17:17:23.589962,2025-11-30 17:17:24.190149,0 days 00:00:00.600187,relu,0.058468016621981936,512,128.0,512.0,1024.0,256.0,64.0,,,,,0.0005749239879519196,6,False,PRUNED
99,0.41108689606997634,2025-11-30 17:17:24.190490,2025-11-30 17:17:25.444312,0 days 00:00:01.253822,tanh,0.009693929762846611,512,512.0,512.0,512.0,32.0,64.0,,,,,0.0016282848020281908,6,True,PRUNED
